,Unnamed: 0,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,0,Andaman and Nicobar,23.9,0.0,0.0,0.0,71.0,1500.0,71.0,1500.0,,
1,1,Andhra Pradesh,48.3,0.0,0.0,0.0,31991.0,2039.0,31991.0,2039.0,,
2,2,Arunachal Pradesh,13.6,0.0,0.0,0.0,630.0,1110.0,630.0,1110.0,,
3,3,Assam,22.9,0.0,0.0,0.0,15382.0,1478.0,15382.0,1478.0,,
4,4,Bihar,39.6,0.0,0.0,0.0,66994.0,1886.0,66994.0,1886.0,,
5,5,Chhattisgarh,60.6,0.0,0.0,0.0,19368.0,2208.0,19368.0,2208.0,,
6,6,Dadra and Nagar Haveli,89.4,0.0,0.0,0.0,286.0,2513.0,286.0,2513.0,,
7,7,Daman and Diu,90.3,0.0,0.0,0.0,519.0,2521.0,519.0,2521.0,,
8,8,Goa,66.4,0.0,0.0,0.0,970.0,2284.0,970.0,2284.0,,
9,9,Gujarat,90.2,0.0,0.0,0.0,49503.0,2528.0,49503.0,2528.0,,
10,10,Haryana,77.0,0.0,0.0,0.0,21973.0,2374.0,21973.0,2374.0,,
11,11,Himachal Pradesh,32.6,0.0,0.0,0.0,3753.0,1485.0,3753.0,1485.0,,
12,12,Jammu and Kashmir,27.7,0.0,0.0,0.0,6761.0,1354.0,6761.0,1354.0,,
13,13,Jharkhand,54.6,0.0,0.0,0.0,24578.0,2143.0,24578.0,2143.0,,
14,14,Karnataka,48.6,0.0,0.0,0.0,40764.0,2068.0,40764.0,2068.0,,
15,15,Kerala,42.6,0.0,0.0,0.0,19116.0,1920.0,19116.0,1920.0,,
16,16,Madhya Pradesh,74.2,0.0,0.0,0.0,57332.0,2360.0,57332.0,2360.0,,
17,17,Maharashtra,72.9,0.0,0.0,0.0,85264.0,2321.0,85264.0,2321.0,,
18,18,Manipur,26.1,0.0,0.0,0.0,1663.0,1618.0,1663.0,1618.0,,
19,19,Meghalaya,31.8,0.0,0.0,0.0,2163.0,1730.0,2163.0,1730.0,,
20,20,Mizoram,28.8,0.0,0.0,0.0,775.0,1674.0,775.0,1674.0,,
21,21,Nagaland,20.4,0.0,0.0,0.0,872.0,1463.0,872.0,1463.0,,
22,22,NCT of Delhi,80.6,0.0,0.0,0.0,7790.0,2436.0,7790.0,2436.0,,
23,23,Odisha,53.1,0.0,0.0,0.0,28404.0,2125.0,28404.0,2125.0,,
24,24,Puducherry,61.3,0.0,0.0,0.0,427.0,2226.0,427.0,2226.0,,
25,25,Punjab,55.3,0.0,0.0,0.0,22222.0,2157.0,22222.0,2157.0,,
26,26,Rajasthan,84.7,0.0,0.0,0.0,57466.0,2483.0,57466.0,2483.0,,
27,27,Sikkim,7.6,0.0,0.0,0.0,377.0,895.0,377.0,895.0,,
28,28,Tamil Nadu,38.9,0.0,0.0,0.0,42238.0,1858.0,42238.0,1858.0,,
29,29,Telangana,62.2,0.0,0.0,0.0,26162.0,2225.0,26162.0,2225.0,,
30,30,Tripura,27.6,0.0,0.0,0.0,2542.0,1638.0,2542.0,1638.0,,
31,31,Uttar Pradesh,57.4,0.0,0.0,0.0,146413.0,2139.0,146413.0,2139.0,,
32,32,Uttarakhand,26.4,0.0,0.0,0.0,5359.0,1387.0,5359.0,1387.0,,
33,33,West Bengal,36.6,0.0,0.0,0.0,51678.0,1821.0,51678.0,1821.0,,
34,34,,,,,,,,,,,
35,35,India,56.4,0.0,0.0,0.0,841805.0,2090.0,841805.0,2090.0,0.0,0.0
