,location,apm25_popweighted,hpm25_female_popweighted,hpm25_male_popweighted,hpm25_child_popweighted,mort_tpm25_6cod_mean_total,dalys_tpm25_rate_6cod_mean_total,mort_apm25_6cod_mean_total,dalys_apm25_rate_6cod_mean_total,mort_hpm25_6cod_mean_total,dalys_hpm25_rate_6cod_mean_total
0,Andaman and Nicobar,24.6,162.2,116.6,141.1,109.0,2406.0,38.0,815.0,70.0,1591.0
1,Andhra Pradesh,52.5,77.2,55.6,67.2,38369.0,2458.0,24632.0,1574.0,13737.0,885.0
2,Arunachal Pradesh,14.9,89.5,64.4,77.9,1109.0,2129.0,331.0,574.0,778.0,1555.0
3,Assam,26.5,123.1,88.6,107.1,24415.0,2431.0,8512.0,810.0,15904.0,1621.0
4,Bihar,59.8,284.0,204.5,247.1,114010.0,3186.0,28474.0,822.0,85536.0,2364.0
5,Chhattisgarh,68.8,130.7,94.1,113.7,25010.0,2845.0,12097.0,1377.0,12913.0,1468.0
6,Dadra and Nagar Haveli,93.2,162.2,116.6,141.1,335.0,2922.0,198.0,1732.0,137.0,1191.0
7,Daman and Diu,94.2,162.2,116.6,141.1,606.0,2927.0,360.0,1741.0,246.0,1187.0
8,Goa,68.8,42.0,30.2,36.5,1055.0,2491.0,839.0,1978.0,216.0,513.0
9,Gujarat,93.3,85.0,61.2,74.0,54515.0,2768.0,40098.0,2038.0,14417.0,730.0
10,Haryana,87.1,109.9,79.1,95.6,25504.0,2754.0,17346.0,1857.0,8159.0,897.0
11,Himachal Pradesh,35.1,87.2,62.8,75.9,4864.0,2124.0,2677.0,1004.0,2187.0,1120.0
12,Jammu and Kashmir,28.6,162.2,116.6,141.1,10546.0,2470.0,3384.0,627.0,7162.0,1843.0
13,Jharkhand,77.1,142.8,102.8,124.2,33618.0,2911.0,16473.0,1428.0,17145.0,1484.0
14,Karnataka,51.8,79.4,57.2,69.1,49087.0,2487.0,30572.0,1564.0,18515.0,923.0
15,Kerala,45.8,68.4,49.2,59.5,22975.0,2337.0,14818.0,1489.0,8157.0,848.0
16,Madhya Pradesh,84.8,132.3,95.2,115.1,71118.0,2919.0,37597.0,1531.0,33521.0,1387.0
17,Maharashtra,77.2,69.9,50.4,60.9,94095.0,2578.0,72499.0,1974.0,21597.0,605.0
18,Manipur,27.4,91.8,66.1,79.8,2390.0,2361.0,973.0,961.0,1416.0,1400.0
19,Meghalaya,38.7,115.9,83.5,100.8,3129.0,2545.0,1349.0,1085.0,1780.0,1460.0
20,Mizoram,30.9,65.1,46.9,56.6,936.0,2043.0,631.0,1369.0,306.0,674.0
21,Nagaland,21.6,93.0,66.9,80.9,1342.0,2294.0,484.0,825.0,858.0,1469.0
22,NCT of Delhi,92.7,162.2,116.6,141.1,9399.0,2920.0,5555.0,1727.0,3844.0,1193.0
23,Odisha,65.4,158.6,114.2,138.0,39751.0,2936.0,15921.0,1176.0,23829.0,1760.0
24,Puducherry,63.9,162.2,116.6,141.1,531.0,2765.0,276.0,1438.0,255.0,1328.0
25,Punjab,59.7,103.7,74.7,90.2,25668.0,2488.0,18210.0,1771.0,7458.0,717.0
26,Rajasthan,90.0,137.2,98.8,119.4,68717.0,2934.0,38075.0,1624.0,30643.0,1310.0
27,Sikkim,8.3,70.3,50.6,61.1,680.0,1712.0,230.0,543.0,450.0,1169.0
28,Tamil Nadu,42.1,62.1,44.7,54.0,49243.0,2191.0,35417.0,1563.0,13826.0,628.0
29,Telangana,68.0,65.2,46.9,56.7,30159.0,2574.0,21015.0,1787.0,9144.0,788.0
30,Tripura,30.6,107.3,77.3,93.4,3831.0,2520.0,1371.0,888.0,2461.0,1633.0
31,Uttar Pradesh,72.5,183.1,131.8,159.3,203020.0,2960.0,85648.0,1247.0,117373.0,1712.0
32,Uttarakhand,28.3,162.2,116.6,141.1,8188.0,2362.0,3041.0,747.0,5146.0,1615.0
33,West Bengal,50.0,161.0,115.8,140.0,78239.0,2789.0,30392.0,1103.0,47847.0,1686.0
34,,,,,,,,,,,
35,India,65.9,136.3,98.1,118.5,1096564.0,2682.0,569532.0,1435.0,527031.0,1247.0
